2.090815,2.174057,2.064311,2.069763,2.115635,2.060221,2.184826,2.166265,2.498901,3.249673,3.656389,3.625595,2.998136,2.576028,2.441912,2.107371,2.191475,2.681509,3.128793,3.500519,2.726315,2.362836,2.521808,2.242809
2.203426,2.093201,2.076875,2.165638,2.067681,2.107375,2.051795,2.075377,3.014847,3.402193,3.888455,3.375739,2.308773,2.48645,2.66754,2.029905,1.865502,2.237637,2.973926,3.236564,2.967428,3.125644,2.304582,2.176994
2.310918,1.996045,1.752792,1.657804,1.634302,1.572935,1.648509,1.892812,1.88494,2.373699,2.686856,1.883668,1.923506,1.565102,1.079506,1.140782,1.160472,1.440438,1.924303,1.654647,1.680953,1.633036,1.8169,1.899312
1.817184,1.618053,1.457891,1.329579,1.597031,1.539737,1.51062,1.457741,1.618618,2.331554,1.712751,1.42716,1.307665,1.172029,1.271004,1.052645,0.9927029,1.052138,1.093273,1.25377,1.305583,1.267225,1.771982,1.786593
1.063832,0.8392504,0.6820682,0.7713946,0.6851808,0.7123812,0.6872686,1.119965,1.464399,1.118218,0.9235963,1.204762,1.112723,0.8965965,1.030891,0.7573248,0.8070962,0.7160539,0.7859928,0.7943413,0.5911435,0.7283719,0.8113385,1.099155
0.1349514,0.09803735,0.08545366,0.1528044,0.1129786,0.1652996,0.3528914,0.2576705,0.3174866,0.1653835,0.1672978,0.2335456,0.3050437,0.4845729,0.378863,0.2689129,0.4045925,0.5247311,0.3691164,0.3762521,0.330958,0.2324754,0.2847196,0.1842606
0.1521103,0.1090581,0.1112812,0.08120211,0.2046267,0.1149951,0.07204332,0.1576904,0.3059945,0.3330717,0.3908256,0.4499409,0.5149957,0.4851648,0.511302,0.5213676,0.7207802,0.86404,0.7004225,0.7392368,0.6868916,0.5310801,0.2945763,0.2520301
0.2669153,0.2509907,0.2388768,0.2361643,0.2153293,0.227605,0.2702155,0.211311,0.4194853,0.5572377,0.5515634,0.6226113,0.7153789,0.7308646,0.5532466,0.5223095,0.7897987,0.8295115,0.8750425,0.6730332,0.5544066,0.3877322,0.3429465,0.3011257
0.3115873,0.2689328,0.2452497,0.2136607,0.1893681,0.1845378,0.2005842,0.3345432,0.6045496,0.3396964,0.6056494,0.2946956,0.3922907,0.3536804,0.4234046,0.3171311,0.6188419,0.8928999,0.8049174,1.091643,0.7902052,0.604975,0.4141941,0.5286894
0.8964677,0.7942441,0.7251828,0.6262441,0.6417605,0.7279377,0.7894296,0.837972,1.523005,1.387636,1.147287,1.042625,0.7974259,0.6747322,0.6265476,0.7948422,1.386225,1.337433,1.564875,1.367103,1.050279,1.075114,0.8232658,0.9910166
1.925557,1.504881,1.470674,1.504788,1.434466,1.644187,1.647927,1.794494,2.028101,2.318979,1.913712,1.62515,1.283433,1.262708,1.035706,1.115273,1.331962,1.752491,1.849916,1.800498,1.830665,1.956383,1.797844,1.63573
